timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,,
2017-10-03,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,,
2017-10-02,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,,
2017-09-29,9.9700,9.9700,9.9500,9.9500,9.9500,500,0.0000,,
2017-09-28,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-27,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-26,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-25,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-22,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-21,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-20,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-19,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-18,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-15,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-14,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-13,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-12,10.2000,10.2000,10.2000,10.2000,10.2000,1,0.0000,,
2017-09-11,10.2000,10.2000,10.2000,10.2000,10.2000,1,0.0000,,
2017-09-08,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-07,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-06,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-09-05,10.2000,10.2000,10.2000,10.2000,10.2000,0,0.0000,,
2017-08-31,10.2000,10.2000,10.2000,10.2000,10.2000,100,0.0000,,
2017-08-30,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-29,9.9801,9.9801,9.9801,9.9801,9.9801,0,0.0000,,
2017-08-28,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-25,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-24,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-23,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-22,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-21,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-18,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-17,9.9800,9.9800,9.9800,9.9800,9.9800,1,0.0000,,
2017-08-16,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-15,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-14,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-11,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-10,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-09,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-08,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-07,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-04,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-03,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-02,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-08-01,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-31,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-28,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-27,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-26,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-25,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-24,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-21,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-20,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-19,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-18,9.9801,9.9801,9.9801,9.9801,9.9801,0,0.0000,,
2017-07-17,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-14,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-13,9.9801,9.9801,9.9801,9.9801,9.9801,0,0.0000,,
2017-07-12,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-11,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-10,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-07,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-06,9.9801,9.9801,9.9801,9.9801,9.9801,0,0.0000,,
2017-07-05,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-07-03,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-30,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-29,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-28,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-27,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-26,9.9800,9.9800,9.9800,9.9800,9.9800,2000,0.0000,,
2017-06-23,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-22,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-21,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-20,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-19,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-16,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-15,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-14,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-13,9.9708,9.9708,9.9708,9.9708,9.9708,2,0.0000,,
2017-06-12,9.9708,9.9708,9.9708,9.9708,9.9708,0,0.0000,,
2017-06-09,9.9730,9.9730,9.9708,9.9708,9.9708,800,0.0000,,
2017-06-08,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-07,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-06,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-05,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-02,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-06-01,9.9800,9.9800,9.9800,9.9800,9.9800,300,0.0000,,
2017-05-31,9.9800,9.9800,9.9800,9.9800,9.9800,300,0.0000,,
2017-05-30,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-26,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-25,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-24,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-23,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-22,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-19,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-18,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-17,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-16,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-15,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-12,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-11,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-10,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-09,9.9800,9.9800,9.9800,9.9800,9.9800,200,0.0000,,
2017-05-08,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-05,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-04,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-03,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-02,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-05-01,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-28,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-27,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-26,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-25,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-24,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-21,9.9800,9.9800,9.9800,9.9800,9.9800,2,0.0000,,
2017-04-20,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-19,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-18,9.9800,9.9800,9.9800,9.9800,9.9800,0,0.0000,,
2017-04-17,10.0000,10.0000,9.9800,9.9800,9.9800,300,0.0000,,
2017-04-13,10.0000,10.0000,10.0000,10.0000,10.0000,0,0.0000,,
2017-04-12,10.0000,10.0000,10.0000,10.0000,10.0000,0,0.0000,,
2017-04-11,10.0100,10.0100,10.0000,10.0000,10.0000,300,0.0000,,
2017-04-10,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-04-07,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-04-06,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-04-05,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-04-04,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-04-03,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-03-31,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-03-30,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-03-29,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-03-28,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-03-27,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-03-24,9.9700,9.9700,9.9600,9.9600,9.9600,1000,0.0000,,
2017-03-23,10.0500,10.0500,10.0500,10.0500,10.0500,0,0.0000,,
2017-03-22,10.0500,10.0500,10.0500,10.0500,10.0500,0,0.0000,,
2017-03-21,10.0500,10.0500,10.0500,10.0500,10.0500,0,0.0000,,
2017-03-20,10.0000,10.0500,10.0000,10.0500,10.0500,2000,0.0000,,
2017-03-17,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,,
2017-03-16,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,,
2017-03-15,9.9900,10.0000,9.9500,9.9500,9.9500,51761,0.0000,,
2017-03-14,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,,
2017-03-13,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,,
2017-03-10,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,,
2017-03-09,9.9500,9.9500,9.9500,9.9500,9.9500,0,0.0000,,
2017-03-08,9.9499,9.9500,9.9499,9.9500,9.9500,3000,0.0000,,
2017-03-07,9.9600,9.9600,9.9600,9.9600,9.9600,0,0.0000,,
2017-03-06,9.9600,9.9600,9.9600,9.9600,9.9600,300,0.0000,,
2017-03-03,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-03-02,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-03-01,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-28,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-27,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-24,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-23,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-22,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-21,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-17,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-16,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-15,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-14,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-13,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-10,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-09,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-08,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-07,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-06,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-03,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-02,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-02-01,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-31,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-30,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-27,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-26,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-25,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-24,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-23,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-20,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-19,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-18,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-17,9.9200,9.9200,9.9200,9.9200,9.9200,0,0.0000,,
2017-01-13,9.9300,9.9300,9.9000,9.9200,9.9200,1947,0.0000,,
2017-01-12,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2017-01-11,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2017-01-10,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2017-01-09,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2017-01-06,9.8980,10.0500,9.7902,9.8500,9.8500,9482,0.0000,,
2017-01-05,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2017-01-04,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2017-01-03,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2016-12-30,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2016-12-29,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2016-12-28,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2016-12-27,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2016-12-23,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2016-12-22,9.8500,9.8500,9.8500,9.8500,9.8500,2602,0.0000,,
2016-12-21,9.8600,9.8601,9.8600,9.8601,9.8601,1000,0.0000,,
2016-12-20,9.8500,9.8500,9.8500,9.8500,9.8500,0,0.0000,,
2016-12-19,9.8501,9.8501,9.8500,9.8500,9.8500,1425,0.0000,,
2016-12-16,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-15,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-14,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-13,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-12,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-09,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-08,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-07,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-06,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-05,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-02,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-12-01,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-30,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-29,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-28,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-25,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-23,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-22,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-21,9.8700,9.8700,9.8700,9.8700,9.8700,1,0.0000,,
2016-11-18,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-17,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-16,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-15,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-14,9.8700,9.8700,9.8700,9.8700,9.8700,1,0.0000,,
2016-11-11,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-10,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-09,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-08,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-07,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-04,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-03,9.8700,9.8700,9.8700,9.8700,9.8700,0,0.0000,,
2016-11-02,9.8700,9.8700,9.8700,9.8700,9.8700,50000,0.0000,,
2016-11-01,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-31,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-28,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-27,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-26,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-25,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-24,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-21,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-20,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-19,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-18,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-17,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-14,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-13,9.9000,9.9000,9.9000,9.9000,9.9000,900,0.0000,,
2016-10-12,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-10-11,9.9000,9.9000,9.9000,9.9000,9.9000,100,0.0000,,
2016-10-10,9.9999,9.9999,9.9999,9.9999,9.9999,0,0.0000,,
2016-10-07,9.9999,9.9999,9.9999,9.9999,9.9999,0,0.0000,,
2016-10-06,9.9999,9.9999,9.9999,9.9999,9.9999,0,0.0000,,
2016-10-05,9.9999,9.9999,9.9999,9.9999,9.9999,0,0.0000,,
2016-10-04,9.8900,9.9999,9.8900,9.9999,9.9999,2300,0.0000,,
2016-10-03,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-30,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-29,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-28,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-27,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-26,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-23,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-22,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-21,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-20,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-19,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-16,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-15,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-14,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-13,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-12,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-09,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-08,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-07,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-06,9.8900,9.8900,9.8900,9.8900,9.8900,0,0.0000,,
2016-09-02,9.8900,9.8900,9.8900,9.8900,9.8900,300,0.0000,,
2016-09-01,9.9000,9.9000,9.9000,9.9000,9.9000,300,0.0000,,
2016-08-31,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-08-30,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-08-29,9.9000,9.9000,9.9000,9.9000,9.9000,0,0.0000,,
2016-08-26,9.9000,9.9000,9.9000,9.9000,9.9000,300,0.0000,,
2016-08-25,10.0000,10.0000,10.0000,10.0000,10.0000,0,0.0000,,
2016-08-24,10.0000,10.0000,10.0000,10.0000,10.0000,0,0.0000,,
2016-08-23,10.0000,10.0000,10.0000,10.0000,10.0000,0,0.0000,,
2016-08-22,9.8200,10.0000,9.8200,10.0000,10.0000,5200,0.0000,,
2016-08-19,9.8200,9.8600,9.8200,9.8600,9.8600,1700,0.0000,,
2016-08-18,9.8200,9.8200,9.8200,9.8200,9.8200,0,0.0000,,
2016-08-17,9.8200,9.8200,9.8200,9.8200,9.8200,0,0.0000,,
2016-08-16,9.8200,9.8200,9.8200,9.8200,9.8200,1700,0.0000,,
2016-08-15,9.8200,9.8200,9.7000,9.7000,9.7000,5400,0.0000,,
2016-08-12,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,,
2016-08-11,9.8000,9.8000,9.8000,9.8000,9.8000,1100,0.0000,,
2016-08-10,9.8000,9.8000,9.7696,9.8000,9.8000,7000,0.0000,,
2016-08-09,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,,
2016-08-08,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,,
2016-08-05,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,,
2016-08-04,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,,
2016-08-03,9.8000,9.8000,9.7999,9.7999,9.7999,2300,0.0000,,
2016-08-02,9.8000,9.8000,9.8000,9.8000,9.8000,0,0.0000,,
2016-08-01,9.8000,9.8000,9.8000,9.8000,9.8000,1915,0.0000,,
2016-07-29,9.8000,9.8000,9.8000,9.8000,9.8000,1700,0.0000,,
2016-07-28,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,,
2016-07-27,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,,
2016-07-26,9.7999,9.7999,9.7999,9.7999,9.7999,0,0.0000,,
2016-07-25,9.7899,9.8000,9.7899,9.7999,9.7999,8785,0.0000,,
2016-07-22,9.7900,9.7900,9.7900,9.7900,9.7900,0,0.0000,,
2016-07-21,9.7900,9.7900,9.7900,9.7900,9.7900,0,0.0000,,
2016-07-20,9.7900,9.7900,9.7900,9.7900,9.7900,0,0.0000,,
